OID,Lat_DD,Long_DD,Jurisdiction,Juris_ID,Name,Status,Commodity_Code,Commodity_Full_Name,Mined_Quantity,Mine_Type,Last_Year,Permit,URL,Forcing_Features,Feature_References,Feature_Class,Location,County,Landowner,Last_Operator,Start_Date,Peak_Production,Last_Updated
10799,59.57523372,-108.4883156,SK,U-6,Nesbitt-Labine Uranium Mines Ltd. -Eagle mine site,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1306,Secured and unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10800,59.45803694,-108.433037,SK,U-7,Consolidated Nicholson Mines Ltd.,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1264,"Unsecured openings, elevated gamma",NULL,B,NULL,NULL,NULL,NULL,NULL,NULL,2012
10801,59.60880251,-108.640517,SK,U-9,Consolidated Beta Gamma Mines Ltd. Bellegarde Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine site,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1394,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10802,59.49516606,-108.1044924,SK,U-10,Nesbitt-Labine Uranium Mine Ltd. Reed Bay,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1280,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10803,59.57104271,-108.5396892,SK,U-11,"Nesbitt-Labine Uranium Mine Ltd. ABC Mine, Melvill",Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1359,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10804,59.58212774,-108.6410702,SK,U-12,Cayzor Athabasca Mine Ltd. Jean Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1404,"Unsecured openings, elevated gamma",NULL,B,NULL,NULL,NULL,NULL,NULL,NULL,2012
10805,59.48911094,-108.6771375,SK,U-13,Uranium Ridge Mines Ltd. Milliken Lake road,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1229,Secured openings,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10806,59.53911148,-108.5549592,SK,U-15,Pitch-Ore Uranium Mines Ltd. Beaverlodge Lake mine,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1362,Secured and Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10807,59.50718838,-108.4813587,SK,U-16,"Black Bay Uranium Mines Ltd. Beaverlodge Lake, Mur",Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1296,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10808,59.56922231,-108.6921584,SK,U-17,Rix Athabasca Uranium Mines Ltd.  Zone 62,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,NULL,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10809,59.56907878,-108.6921682,SK,U-18,Rix Athabasca Uranium Mines Ltd. Smitty Mine,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,NULL,"Unsecured openings, elevated gamma",NULL,B,NULL,NULL,NULL,NULL,NULL,NULL,2012
10810,59.5299118,-108.4855343,SK,U-19,"Meta Uranium Mines Ltd. Beaverlodge Lake, Umisk Is",Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1298,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10811,59.56130647,-108.6757845,SK,U-20,Rix-Athabasca Uranium Mines Ltd. Leonard Mine,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0093,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10812,59.78425156,-109.0987129,SK,U-21,"New Mylamaque Mines Ltd. Tazin Lake, Laird Island",Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1536,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10813,59.4900827,-108.6660505,SK,U-22,"Lorado Uranium Mines Ltd. Mine Site, Beaverlodge L",Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1228,"Unsecured openings, elevated gamma, potential ARD",NULL,B,NULL,NULL,NULL,NULL,NULL,NULL,2012
10814,59.56963831,-108.6646671,SK,U-23,St. Michaels Uranium Mines Ltd. Jean Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1409,"Secured openings, elvated gamma",NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10815,59.79179806,-108.9021095,SK,U-24,"Caba Uranium Mines Ltd. Tazin Lake, Dewdney Island",Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1546,Unsecured openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10816,59.72909639,-108.5302409,SK,U-25,Don Henry Mines Ltd. Gatzke Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1473,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10817,59.58991105,-108.4237815,SK,U-26,"National Exploration Ltd. Keiller Adit, Donaldson ",Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1307,Secured opening,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10818,59.62936665,-108.5882998,SK,U-27,Territorial Uranium Mines Ltd. Coe Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1481,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10819,59.58304826,-108.4596141,SK,U-28,Beaverlodge-Mickey Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,NULL,Secured Openings,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10820,59.59244147,-108.4356502,SK,U-29,National Exploration Ltd. Pat Claims Donaldson Lak,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1319,Secured openings,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10821,59.54711406,-108.691717,SK,U-30,Amax Athabasca Uranium Mines Ltd. (Site 1) Rix Roa,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,NULL,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10822,59.44450401,-107.7934947,SK,U-31,Homer Yellowknife Mines Ltd. Mathews Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1559,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10823,59.53904502,-109.0681572,SK,U-33,Consolidated Beta Gamma Mines Ltd. Tena Claim Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1511,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10824,59.52936284,-108.8173763,SK,U-35,Jesko Uranium Mine Ltd. Lake Athabasca,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1447,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10825,59.56130647,-108.6757845,SK,U-37,Rix Athabasca Uranium Mines Ltd. No. 10 Adit,Abandoned Uranium Sites,UR,NULL,NULL,Adit,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1414,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10826,59.57940421,-108.4383233,SK,U-39,Strike Lake Uranium Mines Ltd. Strike Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1288,Unsecured opening,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10827,59.54187243,-108.6979795,SK,U-40,Amax Athabasca Uranium Mines Ltd. (Site No. 2) Rix,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1427,Exploration trenches,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10828,59.60130225,-108.7834947,SK,U-41,Pitch-Ore Uranium Mines Ltd. Augier Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1451,Unsecured Opening,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10829,59.55992087,-108.6716159,SK,U-42,Amax Athabasca Uranium Mines Ltd. (Site No. 3) Rix,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1415,Exploration trenches,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10830,56.34480493,-104.8254741,SK,B-3,Rottenstone,Abandoned Non-Uranium Sites,NI,NULL,NULL,Mine,NULL,NULL,NULL,Openings secured - unconfined tailings,NULL,A,NULL,NULL,NULL,NULL,NULL,NULL,2012
10831,55.29395915,-105.0046318,SK,B-4,Anglo-Rouyn,Abandoned Non-Uranium Sites,CU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0732,Multiple openings - unconfined tailings,NULL,A,NULL,NULL,NULL,NULL,NULL,NULL,2012
10832,54.71990261,-102.2711841,SK,B-7,Prince Albert Mine,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0086,Multiple openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10833,54.71200721,-102.1039876,SK,B-8,Amisk Syndicate Mine,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0104,Openings secured,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10834,54.7748101,-102.1906286,SK,B-9,Graham Mine - Shaft and No. 3 deposit,Abandoned Non-Uranium Sites,AU,NULL,NULL,Shaft,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0296,Openings - condition unknown,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10835,54.70693572,-102.2802527,SK,B-15,Amisk (Beaver) Gold Mines,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,NULL,Openings secured,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10836,54.71075537,-102.2554792,SK,B-16,Laurel Lake North Gold Zone,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=2207,Adit secured - debris and waste rock,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10837,54.67844563,-102.0296635,SK,B-18,Flexar Mine,Abandoned Non-Uranium Sites,CU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0117,Openings secure - waste rock,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10838,54.69190372,-102.2714496,SK,B-19,Beaver Mine,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0098,Openings - condition unknown,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10839,54.67062227,-102.3087566,SK,B-20,"Waverly Island - Trench 'A', Pit 'C'",Abandoned Non-Uranium Sites,CU,NULL,NULL,Trench,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0093,Exploration trenches,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10840,55.413124,-104.8143425,SK,B-22,Preview Lake,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0754,Open Adit - Debris,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10841,54.6741582,-102.2927455,SK,B-24,Hannay (Bessie Island) Deposit,Abandoned Non-Uranium Sites,ZN,NULL,NULL,Mine,NULL,NULL,NULL,Exploration trenches,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10842,54.66502711,-102.3130662,SK,B-25,Sonara Deposit,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0094,Exploration trenches,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10843,55.43701463,-104.13932,SK,B-26,Pitching Lake,Abandoned Non-Uranium Sites,CU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0801,Openings unsecured - debris,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10844,54.65090859,-102.1492393,SK,B-33,Lucky Strike,Abandoned Non-Uranium Sites,NULL,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0102,Exploration trenches,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10845,54.88451074,-102.1991666,SK,B-36,Otonadah Lake Copper Showing and Exploration Shaft,Abandoned Non-Uranium Sites,CU,NULL,NULL,"Showing, Shaft",NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0302,Opening -  unsecured,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10846,54.7269411,-102.0684669,SK,B-37,Star ,Abandoned Non-Uranium Sites,PY,NULL,NULL,Occurrence,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0165,Exploration,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10847,54.65933522,-102.2533179,SK,B-38,"Ace Deposit - NW Workings, Hill Top Workings",Abandoned Non-Uranium Sites,ZN,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0171,Exploration trenches,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10848,55.42340179,-104.4804325,SK,U-14,La Ronge Uranium Mines Ltd. Drope-Nistowaik Lake A,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0805,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10849,55.21396296,-104.2504325,SK,U-32,Jahala Lake Uranium Mines Lee Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0720,Unsecured Openings,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10850,59.21051761,-105.445148,SK,U-36,Nisto Mines Ltd. Black Lake,Abandoned Uranium Sites,UR,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1621,Secured Openings,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10851,54.5849118,-101.9962634,SK,B-5,Coronation Mine,Abandoned Non-Uranium Sites,CU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0023,Openings secured - potential tailings,NULL,B,NULL,NULL,NULL,NULL,NULL,NULL,2012
10852,54.72640042,-101.9144401,SK,B-12,Newcor Mine,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0005,"Openings secure - , debris",NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10853,54.71673309,-101.9066648,SK,B-13,Vista (Bootleg) Mine - Decline and tailings area,Abandoned Non-Uranium Sites,AU,NULL,NULL,Decline,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0011,"Openings secure - tailings present, debris",NULL,B,NULL,NULL,NULL,NULL,NULL,NULL,2012
10854,54.70485593,-101.9465362,SK,B-23,Wekatch Gold Mines,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0021,Opening secure,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10855,54.68380476,-101.8834869,SK,B-29,Phantom Lake Mine,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0009,Openings unknown,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10856,59.45150938,-108.537773,SK,B-45,Gauthier Shaft,Abandoned Non-Uranium Sites,AU,NULL,NULL,Mine,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1210b,Opening unsecured,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10857,59.30686568,-106.5614623,SK,B-46,Ella Showing,Abandoned Non-Uranium Sites,AU,NULL,NULL,Shaft,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=1574,Opening secured,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10858,59.30439404,-106.5495634,SK,B-47,Concession No. 5,Abandoned Non-Uranium Sites,AU,NULL,NULL,Shaft,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=2174,Opening secured,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,2012
10859,54.7797922,-102.2723469,SK,B-48,Grassy Lake Exploration Shaft,Abandoned Non-Uranium Sites,AU,NULL,NULL,Shaft,NULL,NULL,http://www.er.gov.sk.ca/dbsearch/MinDepositQuery/default.aspx?ID=0312,Opening unsecured,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2012
10860,49.06558161,-102.675104,SK,2,Unknown,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
10861,49.06919547,-102.675106,SK,3,Unknown,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
10862,49.02319516,-102.689345,SK,6,Unknown,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
10863,49.03797662,-102.756539,SK,7,Unknown,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
10864,49.04731528,-102.770618,SK,8,Unknown,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
10865,49.05812888,-102.725844,SK,10,Unknown,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
10866,49.0710764,-102.773288,SK,13,Kelly Coal Mining Company,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,Minor subsedence,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
10867,49.06204074,-102.770535,SK,14,Unknown,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
10868,49.06204074,-102.78705,SK,15,Unknown,NULL,CL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,Abandoned Mines Remedial Action Program 1989 Annual Report,D*,NULL,NULL,NULL,NULL,NULL,NULL,2012
